,timestamp,value,price,value_classification
271,1543968000000                                     ,19,3943.69287109375,Extreme Fear                                      
272,1544054400000                                     ,13,3751.69189453125,Extreme Fear                                      
273,1544140800000                                     ,11,3466.763916015625,Extreme Fear                                      
274,1544227200000                                     ,11,3408.523681640625,Extreme Fear                                      
275,1544313600000                                     ,14,3424.705810546875,Extreme Fear                                      
276,1544400000000                                     ,19,3550.54638671875,Extreme Fear                                      
277,1544486400000                                     ,15,3433.808349609375,Extreme Fear                                      
278,1544572800000                                     ,14,3378.808837890625,Extreme Fear                                      
279,1544659200000                                     ,14,3438.10009765625,Extreme Fear                                      
280,1544745600000                                     ,10,3294.63623046875,Extreme Fear                                      
281,1544832000000                                     ,11,3216.627197265625,Extreme Fear                                      
282,1544918400000                                     ,13,3221.976318359375,Extreme Fear                                      
283,1545004800000                                     ,17,3217.046875,Extreme Fear                                      
284,1545091200000                                     ,23,3506.217041015625,Extreme Fear                                      
285,1545177600000                                     ,21,3655.775146484375,Extreme Fear                                      
286,1545264000000                                     ,27,3687.75048828125,Fear                                              
287,1545350400000                                     ,35,4065.09716796875,Fear                                              
288,1545436800000                                     ,28,3846.2275390625,Fear                                              
289,1545523200000                                     ,31,3960.56787109375,Fear                                              
290,1545609600000                                     ,25,3941.61767578125,Extreme Fear                                      
291,1545696000000                                     ,33,4021.990234375,Fear                                              
292,1545782400000                                     ,26,3759.178466796875,Fear                                              
293,1545868800000                                     ,29,3781.613037109375,Fear                                              
294,1545955200000                                     ,21,3587.703857421875,Extreme Fear                                      
295,1546041600000                                     ,24,3854.421142578125,Extreme Fear                                      
296,1546128000000                                     ,23,3778.19384765625,Extreme Fear                                      
297,1546214400000                                     ,26,3809.728271484375,Fear                                              
298,1546300800000                                     ,24,3692.531494140625,Extreme Fear                                      
299,1546387200000                                     ,30,3794.26416015625,Fear                                              
300,1546473600000                                     ,33,3872.172119140625,Fear                                              
301,1546560000000                                     ,48,3776.52587890625,Neutral                                           
302,1546646400000                                     ,36,3815.26806640625,Fear                                              
303,1546732800000                                     ,31,3787.307861328125,Fear                                              
304,1546819200000                                     ,39,4013.52001953125,Fear                                              
305,1546905600000                                     ,39,3989.668701171875,Fear                                              
306,1546992000000                                     ,42,3973.59130859375,Fear                                              
307,1547078400000                                     ,37,3982.225830078125,Fear                                              
308,1547164800000                                     ,19,3623.84765625,Extreme Fear                                      
309,1547251200000                                     ,22,3632.849365234375,Extreme Fear                                      
310,1547337600000                                     ,21,3598.436279296875,Extreme Fear                                      
311,1547424000000                                     ,16,3495.832275390625,Extreme Fear                                      
312,1547510400000                                     ,27,3648.04833984375,Fear                                              
313,1547596800000                                     ,24,3567.80126953125,Extreme Fear                                      
314,1547683200000                                     ,28,3597.647216796875,Fear                                              
315,1547769600000                                     ,29,3620.981201171875,Fear                                              
316,1547856000000                                     ,31,3597.793212890625,Fear                                              
317,1547942400000                                     ,35,3674.587158203125,Fear                                              
318,1548028800000                                     ,30,3539.16748046875,Fear                                              
319,1548115200000                                     ,27,3531.004150390625,Fear                                              
320,1548201600000                                     ,33,3571.266845703125,Fear                                              
321,1548288000000                                     ,37,3555.699951171875,Fear                                              
322,1548374400000                                     ,35,3565.64208984375,Fear                                              
323,1548460800000                                     ,41,3564.822509765625,Fear                                              
324,1548547200000                                     ,39,3563.614501953125,Fear                                              
325,1548633600000                                     ,35,3553.12158203125,Fear                                              
326,1548720000000                                     ,21,3432.215576171875,Extreme Fear                                      
327,1548806400000                                     ,22,3413.37548828125,Extreme Fear                                      
