,time,value,MA,PRICE
556,1568592000000,40,10345,10306
557,1568678400000,40,10317,10268
558,1568764800000,39,10304,10203
559,1568851200000,38,10276,10159
560,1568937600000,38,10263,10253
561,1569024000000,38,10250,10178
562,1569110400000,38,10238,9997
563,1569196800000,38,10228,10041
564,1569283200000,38,10165,9700
565,1569369600000,36,10014,8703
566,1569456000000,34,9841,8446
567,1569542400000,32,9641,8099
568,1569628800000,32,9451,8183
569,1569715200000,31,9271,8225
570,1569801600000,31,9081,8064
571,1569888000000,30,8901,8271
572,1569974400000,31,8736,8367
573,1570060800000,31,8586,8350
574,1570147200000,30,8417,8176
575,1570233600000,29,8277,8157
576,1570320000000,30,8225,8140
577,1570406400000,32,8175,7890
578,1570492800000,33,8182,8182
579,1570579200000,34,8182,8181
580,1570665600000,34,8214,8573
581,1570752000000,35,8259,8562
582,1570838400000,35,8260,8278
583,1570924800000,35,8254,8308
584,1571011200000,35,8249,8289
585,1571097600000,36,8264,8347
586,1571184000000,37,8266,8176
587,1571270400000,38,8254,8010
588,1571356800000,39,8272,8080
589,1571443200000,39,8251,7957
590,1571529600000,39,8230,7950
591,1571616000000,39,8197,8208
592,1571702400000,39,8166,8221
593,1571788800000,38,8145,8045
594,1571875200000,37,8068,7469
595,1571961600000,35,7991,7434
596,1572048000000,37,8018,8652
597,1572134400000,38,8113,9217
598,1572220800000,39,8249,9502
599,1572307200000,40,8354,9240
600,1572393600000,41,8486,9407
601,1572480000000,42,8597,9172
602,1572566400000,43,8683,9152
603,1572652800000,44,8775,9233
604,1572739200000,47,8889,9303
605,1572825600000,49,9047,9204
606,1572912000000,52,9224,9379
607,1572998400000,52,9283,9300
608,1573084800000,52,9294,9340
609,1573171200000,51,9268,9221
610,1573257600000,50,9228,8796
611,1573344000000,49,9174,8810
612,1573430400000,48,9162,9044
613,1573516800000,47,9124,8730
614,1573603200000,46,9085,8807
615,1573689600000,44,9037,8771
616,1573776000000,43,8986,8652
617,1573862400000,42,8905,8480
618,1573948800000,41,8832,8496
619,1574035200000,39,8756,8508
620,1574121600000,38,8663,8203
621,1574208000000,38,8604,8139
622,1574294400000,37,8539,8096
623,1574380800000,35,8410,7632
624,1574467200000,34,8280,7293
625,1574553600000,32,8144,7310
626,1574640000000,30,7977,6936
627,1574726400000,28,7837,7118
628,1574812800000,27,7717,7158
629,1574899200000,26,7625,7484
630,1574985600000,25,7528,7439
631,1575072000000,26,7484,7721
632,1575158400000,25,7431,7556
633,1575244800000,25,7368,7406
634,1575331200000,26,7339,7309
635,1575417600000,26,7338,7286
636,1575504000000,26,7329,7210
637,1575590400000,27,7369,7374
638,1575676800000,28,7407,7531
639,1575763200000,29,7437,7494
640,1575849600000,29,7439,7508
641,1575936000000,28,7431,7347
642,1576022400000,27,7387,7234
643,1576108800000,26,7354,7197
644,1576195200000,26,7336,7201
645,1576281600000,26,7330,7247
646,1576368000000,26,7311,7082
647,1576454400000,26,7302,7109
648,1576540800000,25,7259,6901
649,1576627200000,24,7177,6627
650,1576713600000,23,7157,7275
651,1576800000000,22,7125,7153
652,1576886400000,22,7110,7185
653,1576972800000,22,7102,7142
654,1577059200000,23,7128,7488
655,1577145600000,23,7140,7335
656,1577232000000,23,7142,7267
657,1577318400000,24,7153,7204
658,1577404800000,26,7162,7208
659,1577491200000,27,7194,7248
660,1577577600000,29,7256,7308
661,1577664000000,31,7267,7394
662,1577750400000,32,7275,7240
663,1577836800000,33,7275,7195
664,1577923200000,35,7280,7194
665,1578009600000,35,7232,6964
666,1578096000000,37,7229,7300
667,1578182400000,38,7237,7351
668,1578268800000,38,7250,7350
669,1578355200000,39,7298,7735
670,1578441600000,40,7380,8147
671,1578528000000,40,7447,8046
672,1578614400000,41,7487,7833
673,1578700800000,42,7572,8181
674,1578787200000,42,7647,8012
675,1578873600000,43,7735,8171
676,1578960000000,45,7840,8111
677,1579046400000,46,7976,8802
678,1579132800000,48,8110,8821
679,1579219200000,49,8234,8721
680,1579305600000,50,8341,8903
681,1579392000000,50,8410,8907
682,1579478400000,51,8468,8690
683,1579564800000,51,8541,8631
684,1579651200000,51,8590,8725
685,1579737600000,52,8650,8665
686,1579824000000,51,8672,8416
687,1579910400000,50,8701,8432
688,1579996800000,49,8660,8349
689,1580083200000,48,8640,8596
