time,value,MA,PRICE
1550361600000,40,3591,3623
1550448000000,44,3614,3665
1550534400000,47,3659,3887
1550620800000,48,3682,3915
1550707200000,50,3710,3977
1550793600000,51,3733,3935
1550880000000,54,3764,3974
1550966400000,56,3808,4115
1551052800000,55,3820,3743
1551139200000,55,3842,3825
1551225600000,55,3861,3809
1551312000000,55,3878,3813
1551398400000,53,3892,3816
1551484800000,51,3885,3816
1551571200000,49,3877,3820
1551657600000,47,3861,3807
1551744000000,45,3841,3713
1551830400000,43,3830,3852
1551916800000,42,3807,3861
1552003200000,43,3818,3872
1552089600000,44,3822,3862
1552176000000,45,3834,3942
1552262400000,47,3844,3924
1552348800000,48,3848,3860
1552435200000,49,3853,3876
1552521600000,50,3858,3866
1552608000000,52,3864,3877
1552694400000,54,3883,3925
1552780800000,55,3897,4008
1552867200000,55,3908,3981
1552953600000,55,3919,3987
1553040000000,55,3933,4014
1553126400000,56,3942,4046
1553212800000,56,3948,3983
1553299200000,56,3959,3989
1553385600000,55,3971,4009
1553472000000,54,3983,3993
1553558400000,53,3987,3928
1553644800000,52,3989,3939
1553731200000,51,3991,4036
1553817600000,50,3996,4028
1553904000000,51,4006,4103
1553990400000,51,4014,4104
1554076800000,51,4020,4104
1554163200000,51,4034,4146
1554249600000,53,4114,4862
1554336000000,54,4200,4956
1554422400000,56,4282,4899
1554508800000,58,4381,5015
1554595200000,60,4481,5042
1554681600000,61,4585,5177
1554768000000,63,4698,5267
1554854400000,63,4795,5172
1554940800000,64,4904,5309
1555027200000,62,4990,5048
1555113600000,62,5075,5082
1555200000000,60,5095,5073
1555286400000,60,5112,5149
1555372800000,60,5125,5040
1555459200000,59,5143,5214
1555545600000,59,5159,5219
1555632000000,58,5168,5275
1555718400000,58,5169,5280
1555804800000,58,5182,5308
1555891200000,58,5182,5311
1555977600000,60,5212,5381
1556064000000,60,5255,5558
1556150400000,61,5290,5452
1556236800000,59,5295,5203
1556323200000,59,5318,5296
1556409600000,57,5322,5257
1556496000000,55,5325,5258
1556582400000,53,5319,5200
1556668800000,52,5320,5293
1556755200000,51,5324,5355
1556841600000,51,5337,5451
1556928000000,51,5368,5731
1557014400000,51,5391,5804
1557100800000,51,5418,5749
1557187200000,54,5464,5716
1557273600000,55,5514,5841
1557360000000,58,5578,5958
1557446400000,61,5661,6168
1557532800000,64,5767,6370
1557619200000,66,5946,7258
1557705600000,69,6091,6954
1557792000000,70,6305,7806
1557878400000,71,6510,7990
1557964800000,72,6728,8192
1558051200000,72,6921,7876
1558137600000,72,7069,7343
1558224000000,73,7202,7301
1558310400000,73,7402,8169
1558396800000,73,7567,7977
1558483200000,72,7711,7958
1558569600000,71,7748,7666
1558656000000,70,7831,7862
1558742400000,69,7846,7977
1558828800000,68,7851,8038
1558915200000,68,7891,8631
1559001600000,68,7976,8816
1559088000000,69,8102,8727
1559174400000,69,8225,8651
1559260800000,68,8238,8311
1559347200000,67,8292,8576
1559433600000,67,8346,8554
1559520000000,67,8444,8744
1559606400000,65,8473,8174
1559692800000,61,8446,7684
1559779200000,58,8425,7812
1559865600000,54,8352,7821
1559952000000,53,8281,8036
1560038400000,53,8210,7943
1560124800000,50,8120,7668
1560211200000,50,8092,8003
1560297600000,50,8031,7898
1560384000000,50,7993,8145
1560470400000,50,7946,8228
1560556800000,53,7992,8672
1560643200000,58,8095,8819
1560729600000,62,8201,8979
1560816000000,68,8337,9313
1560902400000,69,8433,9094
1560988800000,71,8555,9286
1561075200000,75,8726,9548
1561161600000,77,8918,10118
1561248000000,79,9173,10705
1561334400000,80,9419,10846
1561420800000,82,9675,11046
1561507200000,84,9960,11808
1561593600000,85,10340,12996
1561680000000,83,10540,11179
1561766400000,82,10816,12352
1561852800000,82,11078,11973
1561939200000,80,11224,10888
1562025600000,78,11323,10639
1562112000000,78,11387,10823
1562198400000,77,11502,11976
1562284800000,76,11537,11230
1562371200000,75,11532,10987
1562457600000,72,11484,11279
1562544000000,71,11342,11436
1562630400000,73,11440,12260
1562716800000,73,11458,12544
1562803200000,72,11475,12166
1562889600000,69,11521,11385
1562976000000,69,11627,11805
1563062400000,68,11681,11419
1563148800000,62,11527,10285
1563235200000,59,11498,10911
1563321600000,54,11366,9539
1563408000000,52,11219,9657
1563494400000,49,11146,10636
1563580800000,44,10989,10537
1563667200000,41,10829,10774
1563753600000,39,10687,10607
1563840000000,40,10592,10343
1563926400000,35,10422,9936
1564012800000,34,10275,9799
1564099200000,34,10238,9878
1564185600000,36,10141,9846
1564272000000,35,10133,9448
1564358400000,33,10122,9535
1564444800000,32,10020,9511
1564531200000,31,9931,9568
1564617600000,33,9867,10063
1564704000000,34,9844,10361
1564790400000,36,9861,10529
1564876800000,40,9939,10791
1564963200000,42,10044,10952
1565049600000,46,10220,11819
1565136000000,46,10371,11510
1565222400000,50,10601,11971
1565308800000,54,10827,12024
1565395200000,57,11040,11853
1565481600000,58,11200,11328
1565568000000,57,11335,11550
1565654400000,56,11428,11381
1565740800000,51,11462,10904
1565827200000,47,11392,10016
1565913600000,44,11332,10296
